Date,Time,Count
2020-05-13,17-19-09,2
2020-05-13,17-22-30,2
2020-05-13,17-25-51,5
2020-05-13,17-29-12,3
2020-05-13,17-32-33,3
2020-05-13,17-35-54,4
2020-05-13,17-39-15,2
2020-05-13,17-42-36,3
2020-05-13,17-45-57,5
2020-05-13,17-49-18,3
2020-05-13,17-52-39,3
2020-05-13,17-56-00,4
2020-05-13,17-59-21,6
2020-05-13,18-02-42,3
2020-05-13,18-06-03,4
2020-05-13,18-09-24,1
2020-05-13,18-12-45,6
2020-05-13,18-16-06,4
2020-05-13,18-19-27,1
2020-05-13,18-22-48,1
2020-05-13,18-26-09,3
2020-05-14,09-00-00,1
2020-05-14,09-03-21,1
2020-05-14,09-06-42,4
2020-05-14,09-10-03,4
2020-05-14,09-13-24,3
2020-05-14,09-16-45,3
2020-05-14,09-20-06,1
2020-05-14,09-23-27,1
2020-05-14,09-26-48,4
2020-05-14,09-30-09,1
2020-05-14,09-33-30,1
2020-05-14,09-36-51,1
2020-05-14,09-40-12,2
2020-05-14,09-43-33,3
2020-05-14,09-46-54,3
2020-05-14,09-50-15,4
2020-05-14,09-53-36,1
2020-05-14,09-56-57,2
2020-05-14,10-00-18,2
2020-05-14,10-03-39,1
2020-05-14,10-07-00,3
2020-05-14,10-10-21,5
2020-05-14,10-13-42,1
2020-05-14,10-17-03,4
2020-05-14,10-20-24,3
2020-05-14,10-23-45,2
2020-05-14,10-27-06,3
2020-05-14,10-30-27,1
2020-05-14,10-33-48,2
2020-05-14,10-37-09,4
2020-05-14,10-40-30,4
2020-05-14,10-43-51,2
2020-05-14,10-47-12,2
2020-05-14,10-50-33,4
2020-05-14,10-53-54,3
2020-05-14,10-57-15,3
2020-05-14,11-00-36,6
2020-05-14,11-03-57,3
2020-05-14,11-07-18,4
2020-05-14,11-10-39,4
2020-05-14,11-14-00,3
2020-05-14,11-17-21,5
2020-05-14,11-20-42,4
2020-05-14,11-24-03,1
2020-05-14,11-27-24,2
2020-05-14,11-30-45,3
2020-05-14,11-34-06,1
2020-05-14,11-37-27,2
2020-05-14,11-40-48,3
2020-05-14,11-44-09,3
2020-05-14,11-47-30,5
2020-05-14,11-50-51,6
2020-05-14,11-54-12,4
2020-05-14,11-57-33,3
2020-05-14,12-00-54,2
2020-05-14,12-04-15,1
2020-05-14,12-07-36,1
2020-05-14,12-10-57,3
2020-05-14,12-14-18,1
2020-05-14,12-17-39,4
2020-05-14,12-21-00,3
2020-05-14,12-24-21,4
2020-05-14,12-27-42,2
2020-05-14,12-31-03,0
2020-05-14,12-34-24,1
2020-05-14,12-37-45,4
2020-05-14,12-41-06,1
2020-05-14,12-44-27,7
2020-05-14,12-47-48,3
2020-05-14,12-51-09,3
2020-05-14,12-54-30,4
2020-05-14,12-57-51,1
2020-05-14,13-01-12,2
2020-05-14,13-04-33,4
2020-05-14,13-07-54,4
2020-05-14,13-11-15,4
2020-05-14,13-14-36,1
2020-05-14,13-17-57,2
2020-05-14,13-21-18,6
2020-05-14,13-24-39,3
2020-05-14,13-28-00,1
2020-05-14,13-31-21,3
2020-05-14,13-34-42,1
